name;;sort_name
Asia -- China -- Beijing -- Pei-T'ang Library;;Asia -- China -- Beijing -- Pei-T'ang Library
Asia -- China -- Beijing -- Xitang College;;Asia -- China -- Beijing -- Xitang College
Asia -- China -- Bejing;;Asia -- China -- Bejing
Asia -- China -- Canton;;Asia -- China -- Canton
Asia -- China -- Chiang-Nan;;Asia -- China -- Chiang-Nan
Asia -- China -- Formosa;;Asia -- China -- Formosa
Asia -- China -- Fuijan;;Asia -- China -- Fuijan
Asia -- China -- Fujian -- Fu'an;;Asia -- China -- Fujian -- Fu'an
Asia -- China -- Fujian -- Fuzhou;;Asia -- China -- Fujian -- Fuzhou
Asia -- China -- Fuzhou;;Asia -- China -- Fuzhou
Asia -- China -- Guangdong -- Taishan;;Asia -- China -- Guangdong -- Taishan
Asia -- China -- Hangzhou;;Asia -- China -- Hangzhou
Asia -- China -- Hong Kong;;Asia -- China -- Hong Kong
Asia -- China -- Jiangxi;;Asia -- China -- Jiangxi
Asia -- China -- Macao -- St. Paul College;;Asia -- China -- Macao -- St. Paul College
Asia -- China -- Macau;;Asia -- China -- Macau
Asia -- China -- Macau -- Church of Madre de Deus;;Asia -- China -- Macau -- Church of Madre de Deus
Asia -- China -- Macau -- College of Macau;;Asia -- China -- Macau -- College of Macau
Asia -- China -- Macau -- Igreja da Madre de Deus;;Asia -- China -- Macau -- Igreja da Madre de Deus
Asia -- China -- Macau -- Jesuit College;;Asia -- China -- Macau -- Jesuit College
Asia -- China -- Macau -- Madre de Deus College;;Asia -- China -- Macau -- Madre de Deus College
Asia -- China -- Nanjing;;Asia -- China -- Nanjing
Asia -- China -- Ningxia -- Yinchuan;;Asia -- China -- Ningxia -- Yinchuan
Asia -- China -- Peking;;Asia -- China -- Peking
Asia -- China -- Sanchoão;;Asia -- China -- Sanchoão
Asia -- China -- Shandong;;Asia -- China -- Shandong
Asia -- China -- Shanghai;;Asia -- China -- Shanghai
Asia -- China -- Shanxi;;Asia -- China -- Shanxi
Asia -- China -- Shanxi -- Yangtze Delta;;Asia -- China -- Shanxi -- Yangtze Delta
Asia -- China -- Sichuan;;Asia -- China -- Sichuan
Asia -- China -- Taiwan;;Asia -- China -- Taiwan
Asia -- China -- Tibet;;Asia -- China -- Tibet
Asia -- China -- Xianxian;;Asia -- China -- Xianxian
Asia -- China -- Xuzhou;;Asia -- China -- Xuzhou
Asia -- China -- Zhaoqing;;Asia -- China -- Zhaoqing
Asia -- East Asia;;Asia -- East Asia
Asia -- East Timor;;Asia -- East Timor
Asia -- East Timor -- Flores -- East Flores;;Asia -- East Timor -- Flores -- East Flores
Asia -- France -- Mayotte;;Asia -- France -- Mayotte
Asia -- France -- Réunion;;Asia -- France -- Réunion
Asia -- Guam;;Asia -- Guam
Asia -- India;;Asia -- India
Asia -- India -- Ahmadabad -- Narol;;Asia -- India -- Ahmadabad -- Narol
Asia -- India -- Ahmednagar;;Asia -- India -- Ahmednagar
Asia -- India -- Bassein -- Goa -- Mumbai Archiepelago -- Salcete;;Asia -- India -- Bassein -- Goa -- Mumbai Archiepelago -- Salcete
Asia -- India -- Bengal;;Asia -- India -- Bengal
Asia -- India -- Bengal -- Satkhira;;Asia -- India -- Bengal -- Satkhira
Asia -- India -- Bombay;;Asia -- India -- Bombay
Asia -- India -- Calcutta;;Asia -- India -- Calcutta
Asia -- India -- Carnatic region;;Asia -- India -- Carnatic region
Asia -- India -- Daman and Diu;;Asia -- India -- Daman and Diu
Asia -- India -- Goa;;Asia -- India -- Goa
Asia -- India -- Goa -- Salcete;;Asia -- India -- Goa -- Salcete
Asia -- India -- Gujarat;;Asia -- India -- Gujarat
Asia -- India -- Karnataka;;Asia -- India -- Karnataka
Asia -- India -- Karnatka -- Mysore;;Asia -- India -- Karnatka -- Mysore
Asia -- India -- Kerala;;Asia -- India -- Kerala
Asia -- India -- Madurai;;Asia -- India -- Madurai
Asia -- India -- Maharashtra;;Asia -- India -- Maharashtra
Asia -- India -- Maharashtra -- Bombay;;Asia -- India -- Maharashtra -- Bombay
Asia -- India -- Maharashtra -- Pune;;Asia -- India -- Maharashtra -- Pune
Asia -- India -- Malabar;;Asia -- India -- Malabar
Asia -- India -- Mandurai;;Asia -- India -- Mandurai
Asia -- India -- Mangalore -- St. Joseph's Interdiocesan Seminary;;Asia -- India -- Mangalore -- St. Joseph's Interdiocesan Seminary
Asia -- India -- Mumbai;;Asia -- India -- Mumbai
Asia -- India -- Mumbai -- University of Mumbai -- St. Xavier's College;;Asia -- India -- Mumbai -- University of Mumbai -- St. Xavier's College
Asia -- India -- Mysore;;Asia -- India -- Mysore
Asia -- India -- Patna;;Asia -- India -- Patna
Asia -- India -- Pondicherry;;Asia -- India -- Pondicherry
Asia -- India -- South Goa -- Cuncolim;;Asia -- India -- South Goa -- Cuncolim
Asia -- India -- South Gujarat;;Asia -- India -- South Gujarat
Asia -- India -- South India;;Asia -- India -- South India
Asia -- India -- Tamil Nadu;;Asia -- India -- Tamil Nadu
Asia -- India -- Tamil Nadu -- Coimbatore;;Asia -- India -- Tamil Nadu -- Coimbatore
Asia -- India -- Tamil Nadu -- Madura;;Asia -- India -- Tamil Nadu -- Madura
Asia -- India -- Tamil Nadu -- Madurai;;Asia -- India -- Tamil Nadu -- Madurai
Asia -- India -- West Bengal;;Asia -- India -- West Bengal
Asia -- Indonesia;;Asia -- Indonesia
Asia -- Indonesia -- Bali --Tenganan Pegeringsingan;;Asia -- Indonesia -- Bali --Tenganan Pegeringsingan
Asia -- Indonesia -- Bandung;;Asia -- Indonesia -- Bandung
Asia -- Indonesia -- Jakarta;;Asia -- Indonesia -- Jakarta
Asia -- Indonesia -- Jakarta -- Makassar;;Asia -- Indonesia -- Jakarta -- Makassar
Asia -- Indonesia -- Java;;Asia -- Indonesia -- Java
Asia -- Indonesia -- Java -- Semarang;;Asia -- Indonesia -- Java -- Semarang
Asia -- Indonesia -- Java -- South Central Java;;Asia -- Indonesia -- Java -- South Central Java
Asia -- Indonesia -- Java -- Yogyakarta;;Asia -- Indonesia -- Java -- Yogyakarta
Asia -- Indonesia -- Java -- Yogyakarta -- Realino;;Asia -- Indonesia -- Java -- Yogyakarta -- Realino
Asia -- Indonesia -- Malacca;;Asia -- Indonesia -- Malacca
Asia -- Indonesia -- Maluku;;Asia -- Indonesia -- Maluku
Asia -- Indonesia -- Maluku -- Ambon;;Asia -- Indonesia -- Maluku -- Ambon
Asia -- Indonesia -- Maluku -- Spice Islands;;Asia -- Indonesia -- Maluku -- Spice Islands
Asia -- Indonesia -- Maluku Islands;;Asia -- Indonesia -- Maluku Islands
Asia -- Indonesia -- Maluku Islands -- Ambon;;Asia -- Indonesia -- Maluku Islands -- Ambon
Asia -- Indonesia -- Muntilan;;Asia -- Indonesia -- Muntilan
Asia -- Indonesia -- Nusa Tenggara Timur;;Asia -- Indonesia -- Nusa Tenggara Timur
Asia -- Indonesia -- Ternate;;Asia -- Indonesia -- Ternate
Asia -- Indonesia -- Yogyakarta;;Asia -- Indonesia -- Yogyakarta
Asia -- Iran;;Asia -- Iran
Asia -- Iran -- Hormuz;;Asia -- Iran -- Hormuz
Asia -- Iraq;;Asia -- Iraq
Asia -- Iraq -- Baghdad;;Asia -- Iraq -- Baghdad
Asia -- Israel;;Asia -- Israel
Asia -- Israel -- Jerusalem;;Asia -- Israel -- Jerusalem
Asia -- Israel -- Jerusalem -- Pontifical Biblical Institute;;Asia -- Israel -- Jerusalem -- Pontifical Biblical Institute
Asia -- Israel -- Jerusalem -- Yad Vashem;;Asia -- Israel -- Jerusalem -- Yad Vashem
Asia -- Japan;;Asia -- Japan
Asia -- Japan -- Hiroshima;;Asia -- Japan -- Hiroshima
Asia -- Japan -- Honshu -- Yamaguchi;;Asia -- Japan -- Honshu -- Yamaguchi
Asia -- Japan -- Kyoto;;Asia -- Japan -- Kyoto
Asia -- Japan -- Nagasaki;;Asia -- Japan -- Nagasaki
Asia -- Japan -- Osaka;;Asia -- Japan -- Osaka
Asia -- Japan -- Tokyo;;Asia -- Japan -- Tokyo
Asia -- Japan -- Tokyo -- Sophia University;;Asia -- Japan -- Tokyo -- Sophia University
Asia -- Jordan -- Amman;;Asia -- Jordan -- Amman
Asia -- Korea;;Asia -- Korea
Asia -- Laos;;Asia -- Laos
Asia -- Lebanon;;Asia -- Lebanon
Asia -- Lebanon -- Beirut;;Asia -- Lebanon -- Beirut
Asia -- Lebanon -- Beirut -- Saint Joseph University;;Asia -- Lebanon -- Beirut -- Saint Joseph University
Asia -- Macao;;Asia -- Macao
Asia -- Malaysia;;Asia -- Malaysia
Asia -- Malaysia -- Malacca;;Asia -- Malaysia -- Malacca
Asia -- Mauritius;;Asia -- Mauritius
Asia -- Middle East;;Asia -- Middle East
Asia -- Middle East -- Lebanon;;Asia -- Middle East -- Lebanon
Asia -- Middle East -- Lebanon -- Beirut;;Asia -- Middle East -- Lebanon -- Beirut
Asia -- MIddle East -- Syria;;Asia -- MIddle East -- Syria
Asia -- Myanmar;;Asia -- Myanmar
Asia -- Myanmar -- Bago;;Asia -- Myanmar -- Bago
Asia -- Myanmar -- Pegu;;Asia -- Myanmar -- Pegu
Asia -- Near East;;Asia -- Near East
Asia -- Nepal;;Asia -- Nepal
Asia -- North Korea;;Asia -- North Korea
Asia -- Pakistan;;Asia -- Pakistan
Asia -- Palestine;;Asia -- Palestine
Asia -- Palestine -- Jerusalem;;Asia -- Palestine -- Jerusalem
Asia -- Philipines -- Manila;;Asia -- Philipines -- Manila
Asia -- Philippines;;Asia -- Philippines
Asia -- Philippines -- Manila;;Asia -- Philippines -- Manila
Asia -- Philippines -- Manila -- Ateneo de Manila University;;Asia -- Philippines -- Manila -- Ateneo de Manila University
Asia -- Philippines -- Manila -- Manila Central Observatory;;Asia -- Philippines -- Manila -- Manila Central Observatory
Asia -- Philippines -- Manila -- San Ildefonso College;;Asia -- Philippines -- Manila -- San Ildefonso College
Asia -- Philippines -- Mindanao;;Asia -- Philippines -- Mindanao
Asia -- Philippines -- Moro;;Asia -- Philippines -- Moro
Asia -- Philippines -- Muntinlupa City -- National Bilbid Prison;;Asia -- Philippines -- Muntinlupa City -- National Bilbid Prison
Asia -- Philippines -- Sitio Bendum -- Bukidnon Pulangiyen;;Asia -- Philippines -- Sitio Bendum -- Bukidnon Pulangiyen
Asia -- Philippines -- Visayan Islands;;Asia -- Philippines -- Visayan Islands
Asia -- Philippines -- Zamboanga;;Asia -- Philippines -- Zamboanga
Asia -- Philppines;;Asia -- Philppines
Asia -- Russia;;Asia -- Russia
