display_name;;name;;birth_date;;death_date
Avril, Philippe, 1654-1698;;Avril, Philippe;;1654;;1698
Ayala, Antonio, 1818-1887;;Ayala, Antonio;;1818;;1887
Ayala, Ángel, 1867-1960;;Ayala, Ángel;;1867;;1960
Azevedo, Francisco, b.1578;;Azevedo, Francisco;;b.1578;;
Azevedo, Inácio de, 1527-1570;;Azevedo, Inácio de;;1527;;1570
Azevedo, Manuel de, 1713-1796;;Azevedo, Manuel de;;1713;;1796
Azor, Juan, 1535-1603;;Azor, Juan;;1535;;1603
Álvarez de Paz, Jacobo, 1560-1620;;Álvarez de Paz, Jacobo;;1560;;1620
Álvarez, Rodrigo, 1523-1587;;Álvarez, Rodrigo;;1523;;1587
Badeni, Jan, 1858-1899;;Badeni, Jan;;1858;;1899
Baegert, Johann Jakob, 1717-1772;;Baegert, Johann Jakob;;1717;;1772
Bahr, Florian, 1706-1771;;Bahr, Florian;;1706;;1771
Bainvel, Jean Vincent, 1858-1937;;Bainvel, Jean Vincent;;1858;;1937
Bajan, Pavol, 1912-1978;;Bajan, Pavol;;1912;;1978
Balbín, Bohuslav, 1621-1688;;Balbín, Bohuslav;;1621;;1688
Balbín, Bohuslav, 1621-1688;;Balbín, Bohuslav;;1621;;1688
Balde, Jakob, 1604-1668;;Balde, Jakob;;1604;;1668
Baldinucci, Antonio, 1665-1717;;Baldinucci, Antonio;;1665;;1717
Baldinòtti, Giuliano, 1591-1631;;Baldinòtti, Giuliano;;1591;;1631
Banawiratma, Joannes Baptista, 1942-;;Banawiratma, Joannes Baptista;;1942;;
Banchig, Antonio, 1814-1891;;Banchig, Antonio;;1814;;1891
Bangha, Béla, 1880-1940;;Bangha, Béla;;1880;;1940
Bapst, Johannes, 1815-1887;;Bapst, Johannes;;1815;;1887
Bapst, John, 1815-1887;;Bapst, John;;1815;;1887
Baranyi, Pál, 1657-1719;;Baranyi, Pál;;1657;;1719
Barbarić, Petar, 1874-1897;;Barbarić, Petar;;1874;;1897
Barozzi, Francesco, 1537-1604;;Barozzi, Francesco;;1537;;1604
Barreira, Baltasar, 1531-1612;;Barreira, Baltasar;;1531;;1612
Barreto, João Nunes, 1517-1562;;Barreto, João Nunes;;1517;;1562
Barreto, Manuel, 1564-1620;;Barreto, Manuel;;1564;;1620
Barreto, Melchior Nunes, 1519-1570;;Barreto, Melchior Nunes;;1519;;1570
Barrionuevo, Cristóbal Maria, active 21st century;;Barrionuevo, Cristóbal Maria;;active 21st century;;
Barruel, Augustin, 1741-1820;;Barruel, Augustin;;1741;;1820
Barry, William A., 1930-;;Barry, William A.;;1930;;
Bartoli, Daniello, 1608-1685;;Bartoli, Daniello;;1608;;1685
Barze, Cipriano, 1641-1702;;Barze, Cipriano;;1641;;1702
Baró, Ignacio Martín, 1942-1989;;Baró, Ignacio Martín;;1942;;1989
Basile, Vincenzo, 1811-1882;;Basile, Vincenzo;;1811;;1882
Bassan, Alberto, 1919-2006;;Bassan, Alberto;;1919;;2006
Basset, Jean, 1662-1707;;Basset, Jean;;1662;;1707
Basto, Pedro de, 1570-1645;;Basto, Pedro de;;1570;;1645
Bašić, Đuro, 1695-1765;;Bašić, Đuro;;1695;;1765
Batllori i Munné, Miquel, 1909-2003;;Batllori i Munné, Miquel;;1909;;2003
Batllori, Miquel, 1909-2003;;Batllori, Miquel;;1909;;2003
Batlogg, Andreas R., 1962-;;Batlogg, Andreas R.;;1962;;
Baucke, Florián, 1719-1780;;Baucke, Florián;;1719;;1780
Baumhart, Raymond C., 1923-;;Baumhart, Raymond C.;;1923;;
Bautista, Francisco, 1594-1679;;Bautista, Francisco;;1594;;1679
Bayer, Johann Wolfgang, 1722-1796;;Bayer, Johann Wolfgang;;1722;;1796
Bea, Augustin, 1881-1968;;Bea, Augustin;;1881;;1968
Beati, Gabriele, 1607-1673;;Beati, Gabriele;;1607;;1673
Beauchamp, Paul, 1924-2001;;Beauchamp, Paul;;1924;;2001
Beauvau, Anne-François de, 1617-1669;;Beauvau, Anne-François de;;1617;;1669
Beauvollier, Antoine de, 1657-1708;;Beauvollier, Antoine de;;1657;;1708
Becanus, Martinus, 1563-1624;;Becanus, Martinus;;1563;;1624
Beccari, Camillo, 1849-1928;;Beccari, Camillo;;1849;;1928
Beck, Henry, 1874-1897;;Beck, Henry;;1874;;1897
Becker, Karl Josef, 1928-;;Becker, Karl Josef;;1928;;
Beckers, Adam, 1744-1806;;Beckers, Adam;;1744;;1806
Beckx, Peter Johann, 1795-1887;;Beckx, Peter Johann;;1795;;1887
Bednár, František, 1916-1987;;Bednár, František;;1916;;1987
Beek, Joop, 1917-1983;;Beek, Joop;;1917;;1983
Begheyn, Paul, 1944-;;Begheyn, Paul;;1944;;
Belić, Miljenko, 1921-2008;;Belić, Miljenko;;1921;;2008
Bellarmine, Robert, 1542-1621;;Bellarmine, Robert;;1542;;1621
Bellarmino, Roberto Francesco Romolo, Saint, 1542-1621;;Bellarmino, Roberto Francesco Romolo, Saint;;1542;;1621
Bellarmino, Roberto, 1542-1621;;Bellarmino, Roberto;;1542;;1621
Benci, Francesco, 1542-1594;;Benci, Francesco;;1542;;1594
Benci, Giorgio, c.1650-1708;;Benci, Giorgio;;c.1650;;1708
Benninghaus, August, 1880-1942;;Benninghaus, August;;1880;;1942
Benoit, Michel, 1715-1774;;Benoit, Michel;;1715;;1774
Berchmans, John, Saint, 1599-1621;;Berchmans, John, Saint;;1599;;1621
